Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13247032,2022-06-30 00:24:03,2020-12-18 02:08:15,79865192,11979778800,0,150,7762,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13247/SRR13247032/SRR13247032.lite.1,SRX9678730,Ti.3.2M,CLONE,size fractionation,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP297764,PRJNA684764,,684764,SRS7876766,SAMN17068965,simple,256318,metagenome,B296-2M,,,,,,,no,,,,,INSTITUTE OF METAL RESEARCH,SRA1170659,,public,99E07886593253FEC61068F096772F19,059C1C2CF39D42F562B0E852B38FB2F1
ERR4014567,2021-01-06 10:57:51,2021-01-07 03:40:34,759804,224125959,759804,294,102,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4014/ERR4014567/ERR4014567.lite.1,ERX4015956,unspecified,WGS,RANDOM,GENOMIC,PAIRED,300,0,ILLUMINA,NextSeq 500,ERP121041,PRJEB37711,,690386,ERS4416975,SAMEA6657509,simple,545,Citrobacter koseri,SAMEA6657509,,,,,,,no,,,,,"CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS",ERA2421504,,public,A453692C5096DB7BF62B5E706F5474F7,FBD1569F13190B330A251F523181EA7F
ERR4298817,2021-01-06 11:11:36,2021-01-07 14:55:45,1508188,660652417,1508188,438,403,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4298/ERR4298817/ERR4298817.lite.1,ERX4247543,unspecified,WGS,RANDOM PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP122585,PRJEB39108,,690420,ERS4789404,SAMEA7025194,simple,72557,Achromobacter ruhlandii,SAMEA7025194,,,,,,,no,,,,,"CENTER FOR GENOMIC MEDICINE, RIGSHOSPITALET",ERA2749657,,public,7DBCD2BD71478138B128328F2C2A0E27,B5639E5827F98B2A4FCE7ACD19F1E0D4
SRR13247030,2022-06-30 00:24:03,2020-12-18 02:04:38,77274356,11591153400,0,150,7675,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13247/SRR13247030/SRR13247030.lite.1,SRX9678732,TiCu.1.2M,CLONE,size fractionation,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP297764,PRJNA684764,,684764,SRS7876768,SAMN17068955,simple,256318,metagenome,B290-2M,,,,,,,no,,,,,INSTITUTE OF METAL RESEARCH,SRA1170659,,public,03699BBD31F2A24C18808266F30D16C6,97DCF2765788148DAC4DDE899AF02206
SRR13341623,2023-01-01 20:22:17,2021-01-02 14:48:29,53012788,14949606216,53012788,282,6242,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13341/SRR13341623/SRR13341623.lite.1,SRX9768070,,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP300044,PRJNA689127,,689127,SRS7956180,SAMN17199959,simple,10090,Mus musculus,GSM4998045,,,,,,,no,,,,,GEO,SRA1179658,,public,91DE65364DC0B40DF470977C9EBE95ED,FDC01E6318B3C2F5BFD9B7E11EDD2869
SRR13377321,2021-08-14 20:20:19,2021-01-07 13:06:51,23105292,6931587600,23105292,300,2402,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13377/SRR13377321/SRR13377321.lite.1,SRX9800287,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP300767,PRJNA690531,3,690531,SRS7984926,SAMN17250221,simple,3197,Marchantia polymorpha,GSM5009007,,,,,,,no,,,,,GEO,SRA1181294,,public,5B1DAEF689C4E32EF41ED3290A27289D,89D2E4519AE768B83CC592CB5233D6DF
ERR5163007,2021-01-31 18:59:43,2021-02-05 02:13:24,968321,290496300,968321,300,135,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR005/5163/ERR5163007/ERR5163007.lite.1,ERX4967970,NT1583048R,Bisulfite-Seq,PCR,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 4000,ERP110933,PRJEB28690,,614080,ERS4195064,SAMEA6428860,simple,10090,Mus musculus,SAMEA6428860,,,,EpiAge8648732,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA3314685,,public,C6557F18CB544D15F5A4D2B0BFFC28D2,D8BA70EA1B1E051FC47ED83DF9E4248C
SRR13416157,2021-07-17 08:40:40,2021-01-12 18:12:08,220270156,79050258135,220270156,358,28739,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13416/SRR13416157/SRR13416157.lite.1,SRX9832892,,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301408,PRJNA691518,3,691518,SRS8015274,SAMN17293977,simple,10036,Mesocricetus auratus,GSM5016455,,,,,,,no,,,,,GEO,SRA1182856,,public,38C5B6B1DFB18A1FBEAB677B4B25B8EB,F9C465901F0F5413CE4CC39ECABF7D1C
SRR13481505,2021-01-19 09:15:13,2021-01-19 09:09:37,6726003,1080830990,0,160,608,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13481/SRR13481505/SRR13481505.lite.1,SRX9894155,1901461J07BP1,WGS,RANDOM,GENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP302308,PRJNA683983,,683983,SRS8073387,SAMN17049322,simple,9606,Homo sapiens,1901461J07BP1,,,,,female,,no,,,,,SOUTHERN MEDICAL UNIVERSITY,SRA1185108,,public,30C9AF12025E1EF7D9C6122F0D48157D,22D59A38D19993367D886306A0946FB4
SRR13708344,2022-03-31 00:04:09,2021-02-14 11:40:31,1078339,541326178,1078339,502,275,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13708/SRR13708344/SRR13708344.lite.1,SRX10097331,S-160121-1_SR,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306354,PRJNA701733,,701733,SRS8254663,SAMN17906394,simple,562,Escherichia coli,S-160121-1,,,,,,,no,,,,,"SAHLGRENSKA ACADEMY, UNIVERSITY OF GOTHENBURG",SRA1196246,,public,E3827CB7EEC243526EE532D2642CC71E,C25892991EEF53223E656C42F783D4BA
SRR13818883,2023-07-07 01:10:39,2021-03-01 18:53:12,392523,113623870,392523,289,41,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13818/SRR13818883/SRR13818883.lite.1,SRX10200502,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308741,PRJNA705725,,705725,SRS8346982,SAMN18099280,simple,9606,Homo sapiens,GSM5119020,,,,,,,no,,,,,GEO,SRA1201760,,public,2C95C8AD622CA1254BD52B7DD822E210,45B912A2839B0B0B238156F1057B43E8
SRR13844048,2022-03-01 00:02:38,2023-10-15 04:33:36,76898055,23069416500,76898055,300,7327,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13844/SRR13844048/SRR13844048.lite.2,SRX10222408,R_CW_5226_lib,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP309071,PRJNA704648,,704648,SRS8364966,SAMN18051827,simple,2815952,Lestomerus hoberlandti,R_CW_5226,,,,,female,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1202432,,public,F10F7BBBCEF7CDF579D7692CB8E55AC9,F1A4EB36AF3E9B7BCA776B56CEDF4ABB
SRR13852503,2023-07-07 01:13:55,2021-03-03 21:34:39,620495,181060374,620495,291,66,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13852/SRR13852503/SRR13852503.lite.1,SRX10232802,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP309159,PRJNA706421,,706421,SRS8375687,SAMN18132140,simple,9606,Homo sapiens,GSM5132391,,,,,,,no,,,,,GEO,SRA1202666,,public,4FB4E7D3CBC93949D44E8181D9816B11,DE963EF02C1F7DB5794912518CF2B902
SRR13853154,2023-07-07 01:14:14,2021-03-03 22:01:30,1093351,318080499,1093351,290,114,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13853/SRR13853154/SRR13853154.lite.1,SRX10234325,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP309159,PRJNA706421,,706421,SRS8374296,SAMN18131776,simple,9606,Homo sapiens,GSM5132690,,,,,,,no,,,,,GEO,SRA1202666,,public,929DA9824D66F8AF6C37E9919D29E777,CE74AEBEAD8A711C5E54FC09044A503D
SRR13856677,2021-09-01 00:38:52,2021-03-26 06:42:54,35526449,10657934700,35526449,300,3215,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13856/SRR13856677/SRR13856677.lite.1,SRX10237916,74,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP309267,PRJNA706606,,706606,SRS8379412,SAMN18138615,simple,2705415,human feces metagenome,S74,,,,,,,no,,,,,TUFTS UNIVERSITY,SRA1202819,,public,86A9C6045595BBE308E74F4817C0BB8C,C7E05E1A0C42C6628787BE0E554E441D
SRR13896253,2023-07-07 01:15:22,2021-03-09 04:05:29,790609,229593367,790609,290,84,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13896/SRR13896253/SRR13896253.lite.1,SRX10277949,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP309836,PRJNA707574,,707574,SRS8410096,SAMN18213128,simple,9606,Homo sapiens,GSM5143852,,,,,,,no,,,,,GEO,SRA1204221,,public,8AB3E541D05AB76F0609A35041205392,600CA9C9BB8BB54E6FC2C1FB3C48E3A9
ERR5263503,2021-03-16 02:25:04,2021-04-03 03:12:39,16866863,5093792626,16866863,302,2156,FM200053.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR005/5263/ERR5263503/ERR5263503.lite.1,ERX5053839,DN589192T:E6,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina HiSeq 4000,ERP015655,PRJEB14050,,374814,ERS3637181,SAMEA5848651,simple,256318,metagenome,SAMEA5848651,,,,4227STDY7797640,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA3411614,,public,A5F99413451C3DD8140C1A1565DBFC2E,DF536C8D8469331A56EF9DC3BD96BB91
ERR5263476,2021-03-16 02:25:04,2021-04-03 03:05:42,17833226,5385634252,17833226,302,2187,FM200053.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR005/5263/ERR5263476/ERR5263476.lite.1,ERX5053812,DN589192T:G11,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina HiSeq 4000,ERP015655,PRJEB14050,,374814,ERS3637224,SAMEA5848694,simple,256318,metagenome,SAMEA5848694,,,,4227STDY7797683,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA3411614,,public,6F68BB1DA7B9D0C6F69C963D3E099999,EC1072C0BEE7E5DD56CA50313CF89F18
